Cell_line,tRNA-Arg-TCT-1-1,% Arg-TCT-1-1,ARG.10,ARG.6,NE.10,NE.6,INSM1,ASCL1,CHGA,SYP,SCG3,SEZ6,CHGB,CHRNB2,ELAVL4,ENO2,PCSK1,SCN3A,NKX2-1
LNCaP_AD,17752.84857,76.81431795,0.737467776,0.815061232,-0.931064215,-0.958560258,-0.278891841,0.340435305,-0.258170788,2.463965258,-0.373842117,0.720044682,0.11431435,0.036709837,-0.090757258,4.580376521,0.345261984,0.14813008,0.713245213
LNCaP_LP,9550.677007,68.90995843,-0.045100274,-0.318847448,0.656376614,0.965171666,6.684241178,9.576689015,6.609965296,7.471229782,6.923663961,6.015394286,4.233276705,6.631731429,3.645546362,7.437204251,1.781678282,2.938056107,3.502985262
C4-2B_AD,6134.095557,67.24396059,0.44163834,0.640739729,-0.574172685,-0.574943473,-1.44749856,0.442696013,-0.822773672,3.094571202,-0.310833678,-0.500774994,-0.92788473,0.312266531,-0.624931139,4.67595424,-1.378173895,-0.419228178,-1.523717802
C4-2B_LP,4601.966904,62.41736047,-0.544133943,-0.667804372,0.464196767,0.474787873,7.897681795,9.971130669,7.665464854,8.404661164,7.185638671,5.518463477,6.240363148,7.325225794,3.389081237,8.553405663,3.919378758,3.338846492,5.62988398
LNCaP_abl,4975.779792,61.12022346,-0.650818396,-0.666138877,-0.532902342,-0.485768077,0.435365631,5.982369159,1.78179773,4.907507898,2.225942132,1.89394534,3.586274891,2.729125839,1.123646461,8.772084546,0.004227926,2.253706454,-0.797862224
LNCaP_16D,,,0.565997095,0.550913844,-0.506240173,-0.477734703,,,,,,,,,,,,,
LNCaP_42D,,,-0.513156041,0.166293441,-0.557139385,-0.522241962,,,,,,,,,,,,,
LNCaP_42F,,,-0.62178181,-0.334475603,-0.258799112,-0.20136846,,,,,,,,,,,,,
VCaP,6489.057261,78.15683639,0.693195738,0.7437219,0.642413422,0.783382681,6.529814852,4.408497938,6.86327556,5.83615973,5.961338067,3.560867405,5.837115205,6.525851523,1.141504679,4.240183453,0.162133973,0.315722759,1.733575136
22RV1,7781.198715,77.57609888,-0.146412771,0.248920868,0.662938395,0.367882397,2.034808931,1.221968071,6.073330963,8.657164693,7.930917566,6.228116717,7.608960681,7.579823346,2.011687092,8.1045885,2.101522125,0.450560619,3.851463127
DU145,6556.598246,62.43103858,-0.443031818,-0.653637169,-0.332849586,-0.737661404,0.435365631,1.221968071,3.800809288,5.255387666,2.895387798,1.295825946,0.097803599,3.397193604,1.123646461,8.460457035,0.004227926,1.534731757,8.747221233
PC3,5389.571087,58.75346199,-0.282251454,-0.704191029,-0.438712297,-0.781481145,0.435365631,1.221968071,0.505855689,5.604349373,0.700313119,0.096901445,0.097803599,2.175948025,1.123646461,10.02834604,1.683372561,4.777353256,-0.797862224
MSKCC_EF1,4128.51737,71.51563355,-0.768399637,-0.764385607,0.756540926,0.777972731,11.52967021,9.055974901,10.2478714,9.857577224,9.39797823,7.579032619,8.366817528,8.742490674,3.956515008,8.885557133,8.044186596,3.760854943,4.102581206
NCI-H660,11461.90233,83.08331674,-0.755333115,-0.804845694,0.69043062,0.865884417,10.61483842,13.46108902,10.10758244,8.498041568,8.62861585,7.611618423,7.961652363,7.666780937,1.488432877,7.779265797,6.40674259,2.013508218,8.909129398
